Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent,ESG_Group,Current_Price,Market_Cap_API
Azul S.A,AZUL,Airlines,0.458842,841855379.0,1317983.0,1.17,High ESG,8.529999732971191,1561367680.0
BG Staffing Inc,BGSF,Human Resource & Employment Services,0.737293,102074646.0,2557.0,-6.3,High ESG,5.130000114440918,54983212.0
BOC Aviation Limited,BCVVF,Trading Companies & Distributors,0.0,,,0.84,Low ESG,9.359999656677246,6495936000.0
"BWX Technologies, Inc",BWXT,Aerospace & Defense,0.407984,8847806747.0,551348.0,50.63,Medium ESG,193.4499969482422,17722853376.0
Babcock & Wilcox Enterprises Inc,BW,Heavy Electrical Equipment,0.580726,97086272.0,398436.0,-82.45,High ESG,16.079999923706055,2393339648.0
Ballard Power Systems Inc,BLDP,Electrical Components & Equipment,0.032639,,,-40.47,Medium ESG,4.21999979019165,1272227968.0
Barnes Group Inc,B,Industrial Machinery,0.4796,1786038259.0,144957.0,-12.28,High ESG,40.20000076293945,67517448192.0
"Barrett Business Services, Inc",BBSI,Human Resource & Employment Services,0.629233,,,34.04,High ESG,34.16999816894531,839203136.0
Beam Global,BEEM,Electrical Components & Equipment,0.71038,,,-54.0,High ESG,1.149999976158142,25531824.0
Bloom Energy Corp,BE,Heavy Electrical Equipment,0.663849,2545570830.0,3531266.0,-40.5,High ESG,260.2200012207031,74017988608.0
Blue Bird Corporation,BLBD,Construction Machinery & Heavy Trucks,0.551376,,,87.47,High ESG,71.54000091552734,2263996928.0
BlueLinx Holdings Inc,BXC,Trading Companies & Distributors,0.437712,1044579555.0,27883.0,81.13,High ESG,55.060001373291016,428498688.0
Brady Corporation,BRC,Commercial Printing,-0.166869,2839480854.0,129507.0,13.1,Low ESG,82.62999725341797,3892929792.0
BrightView Holdings,BV,Environmental & Facilities Services,-0.061262,1089612000.0,402959.0,113.79,Low ESG,12.890000343322754,1201347968.0
Broadwind Energy Inc,BWEN,Heavy Electrical Equipment,0.570582,,,-34.99,High ESG,4.179999828338623,97829200.0
CAE Inc,CAE,Aerospace & Defense,0.406325,6260381876.0,379457.0,-18.76,Medium ESG,25.299999237060547,8132954624.0
CBAK Energy Technology Inc,CBAT,Electronic Components,0.9371,,,-5.01,High ESG,0.699999988079071,61892524.0
"CBIZ, Inc",CBZ,Research & Consulting Services,0.192565,3713998692.0,122390.0,45.77,Medium ESG,35.2599983215332,1891654144.0
CLARIVATE PLC,CLVT,Research & Consulting Services,0.005737,4917190606.0,1827069.0,-16.8,Medium ESG,2.2100000381469727,1412668544.0
CNH Industrial N.V,CNHI,Agricultural & Farm Machinery,-0.014005,16639119568.0,6643241.0,-10.27,Low ESG,,
"CPI Aerostructures, Inc",CVU,Aerospace & Defense,-0.641104,,,-18.61,Low ESG,5.010000228881836,66180444.0
"CSW Industrials, Inc",CSWI,Building Products,0.681556,,,71.98,High ESG,,
Canadian Pacific Railway Limited,CP,Railroads,-0.384278,82082770000.0,891167.0,12.39,Low ESG,90.08000183105469,79967297536.0
Carlisle Companies Incorporated,CSL,Industrial Conglomerates,0.741109,18337629651.0,135315.0,80.72,High ESG,343.7699890136719,13910678528.0
Carrier Global Corporation,CARR,Building Products & Equipment,0.57703,51045045151.0,1659497.0,28.59,High ESG,69.91000366210938,58065879040.0
Castor Maritime Inc,CTRM,,-0.041933,,,376.32,Low ESG,2.180000066757202,21063932.0
Celadon Group Inc,CGIP,Trucking,-0.527,,,-100.0,Low ESG,9.999999747378752e-05,2829.0
ChargePoint Holdings Inc,CHPT,Electrical Components & Equipment,-0.561269,700659991.0,10997954.0,-81.39,Low ESG,7.139999866485596,174331920.0
