Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent
Asia Pacific Wire & Cable Corp Ltd,APWC,Electrical Components & Equipment,0.0,,,-1.76
"Astec Industries, Inc",ASTE,Construction Machinery & Heavy Trucks,-0.521903,,,
Astronics Corporation,ATRO,Aerospace & Defense,0.619422,,,
Atento SA,ATTO,Office Services & Supplies,0.0,,,-94.45
Atkore International Group Inc,ATKR,Electrical Components & Equipment,0.537627,6368266442.0,265735.0,32.84
"Atlas Air Worldwide Holdings, Inc",AAWW,Air Freight & Logistics,-0.29825,,,0.82
Atlas Corp,ATCO,Marine,0.2726,,,0.13
Avalon Holdings Corporation,AWX,Environmental & Facilities Services,0.0,,,-16.48
AviChina Industry & Technology Company Limited,AVIJF,Aerospace & Defense,0.1531,,,
Avianca Holdings S.A,AVH,Airlines,0.0,,,
"Avis Budget Group, Inc",CAR,Trucking,0.369853,,,
Axion Power International Inc,AXPWQ,Electrical Components & Equipment,0.0,,,-98.0
"Axon Enterprise, Inc",AAXN,Aerospace & Defense,0.143204,,,
Azek Company Inc,AZEK,Building Products,0.923342,7001110053.0,695010.0,89.54
Azul S.A,AZUL,Airlines,0.458842,841855379.0,1317983.0,1.17
BAE Systems plc,BAESF,Aerospace & Defense,0.622,,,
BG Staffing Inc,BGSF,Human Resource & Employment Services,0.737293,102074646.0,2557.0,-6.3
"BMC Stock Holdings, Inc",BMCH,Trading Companies & Distributors,-0.771578,,,
BOC Aviation Limited,BCVVF,Trading Companies & Distributors,0.0,,,0.84
BTS Group Holdings Public Company Limited,BTGRF,Railroads,0.51585,,,
"BWX Technologies, Inc",BWXT,Aerospace & Defense,0.407984,8847806747.0,551348.0,50.63
Babcock & Wilcox Enterprises Inc,BW,Heavy Electrical Equipment,0.580726,97086272.0,398436.0,-82.45
Balfour Beatty plc,BAFBF,Construction & Engineering,0.075304,,,
Ballard Power Systems Inc,BLDP,Electrical Components & Equipment,0.032639,,,-40.47
Barnes Group Inc,B,Industrial Machinery,0.4796,1786038259.0,144957.0,-12.28
"Barrett Business Services, Inc",BBSI,Human Resource & Employment Services,0.629233,,,34.04
